Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
16063,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,46.301,13,9,0,17.976,450.455,0.604,46.582,61k,96k,527k,10k,0.967,1624
16064,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,52.036,13,9,0,18.699,472.232,0.64,90.38,118k,186k,1035k,17k,0.967,3013
16065,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,5.494,13,9,0,19.392,493.733,0.675,4.867,6k,10k,66k,10k,0.965,163
16066,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,43.977,13,9,0,18.196,456.695,0.613,77.674,101k,160k,882k,17k,0.968,2543
16067,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,53.55,13,9,0,19.024,479.862,0.654,97.513,127k,201k,1125k,18k,0.968,3195
16069,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,49.058,13,9,0,18.373,462.903,0.627,27.482,9211k,57k,315k,5k,0.966,835
16070,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,49.997,13,9,0,18.572,465.941,0.634,87.853,115k,181k,1011k,17k,0.967,2939
16071,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,56.624,13,9,0,19.486,490.935,0.675,100.111,131k,207k,1168k,17k,0.967,3355
16072,Prod,LH2,8.487,6.265,6.93,2.193,-20.905,53.324,13,9,0,18.891,475.254,0.649,95.041,124k,196k,1099k,17k,0.967,3144
16073,Prod,Dummy10cm,8.487,6.265,6.93,2.193,-20.905,34.71,13,9,0,4.196,60.594,0.031,32.236,14k,13k,27k,9k,0.993,96
16074,Prod,Dummy10cm,8.487,6.265,8.93,2.193,-20.905,36.83,13,9,0,4.21,24.204,0.019,46.439,20k,7k,24k,13k,0.997,81
16075,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,64.317,12,9,0,24.924,239.741,0.446,67.97,89k,107k,411k,10k,0.979,1436
16076,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,64.037,12,9,0,23.438,225.242,0.414,12.19,16k,19k,72k,2k,0.979,FADC Mode 10
16077,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,74.274,12,9,0,25.542,247.26,0.461,39.534,13246k,63k,239k,5k,0.978,815
16078,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,61.573,12,9,0,23.673,227.168,0.416,135.848,178k,214k,804k,22k,0.978,2990
16079,Prod,LH2,8.487,6.265,8.930,2.193,-20.905,55.816,12,9,0,23.097,219.837,0.399,107.593,141k,169k,630k,19k,0.979,2353
16080,Prod,LH2,8.487,6.265,8.930,2.193,-20.905,44.730,12,9,0,25.102,241.314,0.448,64.909,85k,103k,396k,15k,0.978,16080
16084,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,34.540,14,9,0,11.708,594.823,0.487,48.257,64k,101k,680k,14k,0.961,1568
16086,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,28.226,14,9,0,10.818,545.745,0.437,22.044,29k,46k,303k,8k,0.961,661
16083,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,15.344,13,9,0,6.058,274.782,0.159,9.978,13k,38k,91k,6k,0.973,359
16087,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,25.288,14,9,0,9.692,471.513,0.331,49.525,65k,100k,576k,19k,0.968,1537
16089,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,25.083,14,9,0,9.603,467.410,0.328,38.416,51k,77k,445k,15k,0.967,1262
16088,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,27.011,14,0,-1,9.863,479.447,0.340,32.436,11054k,66k,381k,12k,0.968,1082
16090,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,24.486,14,9,0,9.743,473.509,0.333,58.649,77k,118k,683k,24k,0.968,1950
16091,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,26.263,14,9,0,9.837,478.261,0.338,46.726,62k,94k,546k,17k,0.968,1612
16092,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,24.547,14,9,0,9.597,464.181,0.327,42.495,56k,85k,494k,17k,0.968,1410
16093,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,23.811,14,8,0,9.569,464.174,0.325,43.070,114k,87k,500k,18k,0.968,1482
16094,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,24.214,14,8,0,9.922,482.311,0.341,43.329,114k,87k,509k,18k,0.967,1422
16095,Prod,LH2,8.487,6.265,5.500,2.193,-20.905,26.936,14,8,0,9.852,478.126,0.338,44.644,118k,90k,521k,16k,0.968,1486
16097,Prod,Dummy10cm,8.487,6.265,5.500,2.193,-20.905,35.473,12,7,0,4.219,152.340,0.057,44.988,77k,88k,68k,13k,0.986,110
16098,Prod,Dummy10cm,8.487,6.538,5.500,1.882,-28.420,33.260,12,5,0,1.206,129.717,0.021,44.130,83k,74k,26k,13k,0.987,38
16099,Prod,Dummy10cm,8.487,6.538,5.500,1.882,-28.420,35.218,12,5,0,1.211,131.516,0.021,75.651,141k,127k,44k,21k,0.986,47
