Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
16245,Prod,LH2,6.399,2.412,17.86,3.921,-13.81,37.811,13,11,0,77.248,292.555,1.8,31.979,52k,49k,1247k,8k,0.988,24997
16246,Prod,LH2,6.399,2.412,17.86,3.921,-13.81,45.824,13,11,0,80.136,303.433,1.893,33.828,55k,52k,1335k,7k,0.987,26389
16247,Prod,LH2,6.399,2.412,17.86,3.921,-13.81,42.419,13,11,0,77.448,293.149,1.806,33.628,55k,52k,1310k,8k,0.988,26111
16249,Prod,LH2,6.399,2.412,17.86,3.921,-13.81,44.478,13,11,0,80.002,302.68,1.885,34.13,56k,53k,1344k,8k,0.987,26687
16252,Prod,LH2,6.399,2.412,19.86,3.921,-13.81,20.437,12,11,0,92.189,229.036,1.745,25.084,41k,51k,797k,12k,0.989,18867
16253,Prod,LH2,6.399,2.412,19.86,3.921,-13.81,43.992,12,11,0,86.428,214.677,1.605,40.834,66k,83k,1264k,9k,0.989,30835
16256,Prod,LH2,6.399,2.412,19.86,3.921,-13.81,38.819,12,11,0,92.193,228.902,1.748,49.185,80k,99k,1556k,13k,0.989,37324
16257,Prod,LH2,6.399,2.412,19.86,3.921,-13.81,51.31,12,11,0,91.991,228.304,1.739,47.1,77k,95k,1485k,9k,0.989,35737
16258,Prod,LH2,6.399,2.412,21.855,3.921,-13.81,57.752,12,11,0,114.393,183.895,1.845,49.633,80k,64k,1321k,9k,0.99,31111
16259,Prod,LH2,6.399,2.412,21.855,3.921,-13.81,53.527,12,11,0,108.479,174.338,1.719,52.811,85k,68k,1383k,10k,0.99,33429
16260,Prod,LH2,6.399,2.412,21.855,3.921,-13.81,61.836,12,11,0,120.309,193.293,1.958,50.727,82k,66k,1363k,8k,0.99,31850
16261,Prod,LH2,6.399,2.412,21.855,3.921,-13.81,68.904,12,11,0,121.201,194.73,1.973,51.931,84k,67k,1394k,7k,0.99,32706
16265,Prod,Dummy10cm,6.399,2.412,21.855,3.921,-13.81,29.584,12,11,0,21.555,31.844,0.092,30.882,17k,13k,78k,10k,0.995,1325
16266,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,34.812,12,11,0,63.647,102.323,0.636,79.803,131k,105k,1343k,23k,0.993,82903
16268,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,18.488,10,9,0,32.991,53.039,0.224,36.412,241k,194k,421k,20k,0.995,38381
16269,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,17.714,10,9,0,32.576,52.342,0.221,29.039,193k,155k,336k,16k,0.995,30713
16270,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,11.784,10,9,0,20.197,32.43,0.114,2.632,18k,14k,25k,2k,0.997,2770
16271,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,10.293,9,9,0,20.032,32.17,0.112,33.34,224k,360k,327k,33k,0.995,36064
16272,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,10.315,9,9,0,19.955,32.039,0.111,29.021,194k,311k,281k,28k,0.995,16272
16273,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,55.91,12,11,0,95.284,153.061,1.269,40.362,66k,53k,897k,7k,0.991,41020
16275,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,53.131,12,11,0,93.656,150.461,1.242,46.691,76k,61k,1034k,9k,0.991,47639
16276,fADC,LH2,6.399,2.412,21.855,3.921,-13.81,25.551,11,10,0,48.274,77.487,0.404,70.498,233k,187k,1000k,28k,0.994,73939
16277,HeePCoin,LH2,6.399,2.412,37.97,4.752,-18.595,66.498,5,3,0,3.849,3.766,0.212,46.694,503k,145k,139k,7k,0.993,0
16278,HeePCoin,LH2,6.399,2.412,37.97,4.752,-18.595,78.626,6,6,0,4.214,4.14,0.23,10.197,17k,16k,30k,1k,0.993,0
16279,HeePCoin,Dummy10cm,6.399,2.412,37.97,4.752,-18.595,35.413,5,4,0,0.633,1.626,0.014,12.807,24k,32k,5k,4k,0.994,772
16280,HeePCoin,Dummy10cm,6.399,2.792,34.475,4.391,-21.095,28.781,5,4,0,0.252,1.073,0.012,15.448,12k,26k,6k,5k,0.991,398
16282,HeePCoin,LH2,6.399,2.792,34.475,4.391,-21.095,17.711,6,5,0,1.527,3.028,0.107,62.057,79k,80k,120k,36k,0.993,54668
16284,HeePCoin,LH2,6.399,3.493,28.46,3.727,-26.545,60.397,6,2,0,0.254,3.373,0.034,76.281,91k,109k,39k,13k,0.993,16657
16286,HeePCoin,Dummy10cm,6.399,3.493,28.46,3.727,-26.545,39.338,4,0,0,0.055,0.913,0.01,23.063,32k,59k,6k,6k,1,138
16287,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,49.165,14,8,0,5.553,446.411,0.205,18.992,14k,18k,69k,4k,0.969,
16288,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,55.665,14,8,0,6.427,525.259,0.252,33.385,25k,32k,128k,6k,0.968,519
16289,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,55,14,8,0,6.346,518.344,0.248,97.457,73k,94k,373k,17k,0.967,1507
16290,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,28.524,14,8,0,6.049,491.17,0.233,46.282,35k,45k,183k,16k,0.968,821
16291,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,54.573,14,8,0,6.463,530.808,0.255,97.174,73k,94k,375k,18k,0.967,1587
16292,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,60.27,14,8,0,6.491,531.25,0.257,110.67,83k,108k,428k,18k,0.968,1785
16293,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,53.187,14,8,0,5.878,478.142,0.223,99.468,75k,96k,370k,18k,0.968,1605
16294,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,61.623,14,8,0,6.449,530.855,0.255,110.661,83k,108k,425k,18k,0.967,1723
16295,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,39.091,14,8,0,6.28,512.857,0.247,64.478,49k,63k,254k,16k,0.967,1080
16296,Prod,LH2,6.399,4.605,7.66,1.727,-28.77,43.165,14,0,-1,5.635,457.604,0.211,98.197,9571k,95k,363k,22k,0.968,1615
16298,Prod,Dummy10cm,6.399,4.605,7.66,1.727,-28.77,34.346,11,5,0,1.336,63.066,0.017,62.742,128k,100k,29k,18k,0.991,77
16299,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,64.313,13,8,0,6.871,268.267,0.149,110.695,83k,102k,233k,17k,0.98,1951
16300,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,70.948,13,8,0,7.142,279.536,0.156,125.778,94k,116k,265k,17k,0.98,2201
16301,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,57.325,13,8,0,6.733,262.494,0.145,108.235,81k,99k,228k,19k,0.98,1889
16302,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,62.387,13,8,0,7.047,275.611,0.154,115.022,86k,106k,244k,18k,0.981,2138
16303,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,0.884,13,8,0,0,0,0,0,0k,0k,2k,2k,0,JUNK
16304,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,57.103,13,8,0,7.08,277.025,0.155,45.98,34k,42k,99k,8k,0.981,847
16305,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,67.952,13,0,-1,7.253,284.274,0.159,154.153,14840k,142k,328k,22k,0.98,2872
16307,Prod,LH2,6.399,4.605,9.66,1.727,-28.77,64.653,13,8,0,6.979,272.482,0.152,18.299,14k,17k,39k,3k,0.979,634
16308,Prod,Dummy10cm,6.399,4.605,9.66,1.727,-28.77,32.909,9,5,0,1.268,28.674,0.013,29.415,60k,90k,12k,9k,0.992,FADC Mode 10 on – Probably OK
16310,Prod,Dummy10cm,6.399,4.605,11.66,1.727,-28.77,26.143,8,5,0,1.29,14.885,0.012,32.999,68k,102k,15k,13k,0.995,FADC Mode 10 on – Probably OK
16311,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,63.713,11,7,0,6.929,128.371,0.081,148.77,220k,259k,169k,23k,0.987,2075
16314,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,58.302,11,0,-1,7.007,129.569,0.082,113.033,10908k,197k,131k,19k,0.987,1623
16315,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,53.825,11,7,0,6.426,118.927,0.074,133.212,197k,231k,152k,25k,0.987,1875
16316,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,64.359,11,7,0,6.844,126.784,0.08,164.129,243k,286k,187k,25k,0.987,2292
16317,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,61.64,11,7,0,6.667,123.626,0.077,153.15,226k,266k,172k,25k,0.988,2124
16318,Prod,LH2,6.399,4.605,11.66,1.727,-28.77,61.703,11,7,0,6.952,128.737,0.081,87.427,129k,152k,100k,14k,0.986,1171
16319,Prod,LH2,6.399,5.127,10,1.158,-42.23,57.888,12,7,0,2.21,140.765,0.033,216.932,104k,210k,109k,37k,0.983,455
16320,Prod,LH2,6.399,5.127,10,1.158,-42.23,52.438,12,7,0,2.12,134.575,0.032,40.802,20k,39k,21k,8k,0.984,84
16321,Prod,LH2,6.399,5.127,10,1.158,-42.23,59.331,12,6,0,2.156,137.563,0.032,211.098,199k,204k,103k,35k,0.986,504
16322,Prod,LH2,6.399,5.127,10,1.158,-42.23,64.996,12,0,-1,2.245,143.775,0.034,247.487,7688k,240k,120k,38k,0.984,550
16323,Prod,LH2,6.399,5.127,10,1.158,-42.23,65.927,12,6,0,2.296,146.489,0.035,247.503,234k,240k,120k,37k,0.983,574
16325,Prod,LH2,6.399,5.127,10,1.158,-42.23,66.169,12,6,0,2.273,146.501,0.034,237.07,222k,230k,114k,36k,0.984,528
