Run,Type,Target,EBeam,P_SHMS,Theta_SHMS,P_HMS,Theta_HMS,Current,PS1,PS4,PS5,HMS_Rate_(kHz),SHMS_Rate_(kHz),Coin_Rate_(kHz),Charge_(mC),Raw_HMS,Raw_SHMS,Raw_Coin,EDTM,SHMS_Hadron_Tracking,Comments
16063,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,46.301,13,9,0,17.976,450.455,0.604,46.582,61k,96k,527k,10k,0.967,1624
16065,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,5.494,13,9,0,19.392,493.733,0.675,4.867,6k,10k,66k,10k,0.965,163
16064,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,52.036,13,9,0,18.699,472.232,0.64,90.38,118k,186k,1035k,17k,0.967,3013
16066,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,43.977,13,9,0,18.196,456.695,0.613,77.674,101k,160k,882k,17k,0.968,2543
16067,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,53.55,13,9,0,19.024,479.862,0.654,97.513,127k,201k,1125k,18k,0.968,3195
16069,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,49.058,13,9,0,18.373,462.903,0.627,27.482,9211k,57k,315k,5k,0.966,835
16070,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,49.997,13,9,0,18.572,465.941,0.634,87.853,115k,181k,1011k,17k,0.967,2939
16071,Prod,LH2,8.494,6.265,6.93,2.193,-20.905,56.624,13,9,0,19.486,490.935,0.675,100.111,131k,207k,1168k,17k,0.967,3355
16073,Prod,Dummy10cm,8.487,6.265,6.93,2.193,-20.905,34.71,13,9,0,4.196,60.594,0.031,32.236,14k,13k,27k,9k,0.993,96
16072,Prod,LH2,8.487,6.265,6.93,2.193,-20.905,53.324,13,9,0,18.891,475.254,0.649,95.041,124k,196k,1099k,17k,0.967,3144
16074,Prod,Dummy10cm,8.487,6.265,8.93,2.193,-20.905,36.83,13,9,0,4.21,24.204,0.019,46.439,20k,7k,24k,13k,0.997,81
16075,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,64.317,12,9,0,24.924,239.741,0.446,67.97,89k,107k,411k,10k,0.979,1436
16077,Prod,LH2,8.487,6.265,8.93,2.193,-20.905,74.274,12,9,0,25.542,247.26,0.461,39.534,13246k,63k,239k,5k,0.978,815
