COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,ELT2_SHMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
1931117,1054527,1,0.9223111683388765,0.9356560729268404,0.976036195647368,0.976036195647368,8.77727111134795e-05,0.9990005015240534,0.9639304409452463,0.999633159517034,1.84270614578417e-39,48396,21072617,39617739,17,0.960512556956435,0.0015626488206796,21061061,0.9973,0.0001,1025,,,17,1,,0.985375774220543,3.28661237857331e-40,,760461393,760461393,1025,0.960512556956435,0.0015626488206796,760449837,0.9938,0.0004,0.8998788508134302,0.9614096085619307,0.9756781460579644,0.9617624219532986,10399,0.9807598833087183,47206,30278,108527,63686,79650.8953982863,1.00036395557269,68.68970246886325,6.032969885773624,1434741,1434741,4101,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,229.0195569401177,131379,117760,2582,0.999633159517034,0.985375774220543,909.4078040576729,18172.699562664955,34165.726459085476,655810.1646318862,655810.1646318862,674892.2719986087,12218,11556,679.7647058823529,11556,11.274146341463414,1159.57549,2974583,3.492176964061071e-05,,,2.3572434425885694e-05,0.0009738030895345148,5.6590169885287646e-05,8.77727111134795e-05,2.0009969452903975e-05,0.00015887485116921338,0.0008348592154831121,0.00021784157238559143,0.0008348592154831121,3.626280667225258e-05,0.0027589067647365104,3.626280667225258e-05,0.0029140775257509802,0.008824805957671537,8.086995082643137e-09,8.086995082643137e-09,8.086995082643137e-09,109.78799996042649,0.006068751641384716,0.001378364918705148,0.006082910759597244,0.0009226319265965916,0.0010226319265965915,0.0061259069854582866,0.00607202724296127,0.006126723136758069,0.004225044394554829,0.004625044394554829,0.006666431805795243,0.006068828431393564,0.006678421446817985,0.9452501185624419,2.683167470759282,0.9228410660243049,1.6675337494530444,1.6685369784209296,1.6910884100796717,1.0027620764305407,1.69210581010579,2.6511095675109946,2.656571417577667,2.7652852389496556,1.0166647150964274,2.7709823152047526,0.6069145267736293,13.089514408902904,0.30095645031705864,313.6229312454907,314.47200566077476,318.3942930823188,269.8749003837514,319.25628505195914,1731.5506365507927,1561.737537651894,1818.980684935541,10244.99153945982,1640.593324828394
1942926,1064160,1,0.9159744351548783,0.9291796942607453,0.978123093885914,0.978123093885914,8.35098758153164e-05,0.9990017254078768,0.9640059892545614,0.999635398990634,1.78146596023508e-39,47967,21321008,40086066,17,0.960603398414967,0.00155658915316,21309302,0.9974,0.0001,1025,,,17,1,,0.985428841812724,3.12556812348798e-40,,768755007,768755007,1025,0.960603398414967,0.00155658915316,768743301,0.9931,0.0004,0.8956090893558859,0.9635192793254006,0.977766469218599,0.9638707075582746,10484,0.9808065884533727,47805,30584,109254,64056,80492.6321724021,1.00036484154335,68.52289838081208,6.022467110883308,1448358,1448358,4147,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,228.27396207073298,132261,118686,2607,0.999635398990634,0.985428841812724,905.9130702142237,18150.4471295125,34125.02924641971,654436.5590079753,654436.5590079753,673492.919207702,12219,11706,688.5882352941177,11706,11.420487804878048,1174.682246,3004161,3.475243109857202e-05,,,2.3407423964886267e-05,0.0009693855345213105,5.579747868724704e-05,8.35098758153164e-05,1.9985442802225895e-05,0.00015794405415034114,0.0008309254075024078,0.00021656892133207535,0.0008309254075024078,3.6066667932705554e-05,0.0027496923094602783,3.6066667932705554e-05,0.002902687303701163,0.00874725121505699,7.28934742254024e-09,7.28934742254024e-09,7.28934742254024e-09,110.94822116156146,0.006054718021606845,0.0013783649281583026,0.00606892853719283,0.0009144352833177242,0.0010144352833177243,0.006111468510432138,0.006058021334508403,0.00611228658964905,0.004211567113433596,0.004611567113433596,0.006649843465667111,0.0060547993920230326,0.006661862961505256,0.9383649942833201,2.679247403579196,0.9200850512947772,1.6622012503077734,1.6630345174274384,1.6855860330395227,1.0039193876173371,1.6864310230300177,2.6353608262260986,2.6456705400816083,2.7484251466297187,1.01682113861595,2.759177175927968,0.6024938111750998,13.07039082590006,0.30005766022138863,312.6200166038215,313.43494746723627,317.35831800406254,270.18636932398243,318.1856005655329,1721.2644743600922,1555.329161251284,1807.8902622029318,10246.567828683084,1633.6039504863456
1164141,640770,1,0.9197957657446089,0.9331018716262333,0.977012671560313,0.977012671560313,0.0001103021469003,0.9990007033871992,0.9639535595726826,0.999632603535678,1.38344534950203e-38,28513,12818982,24111196,17,0.960521298954279,0.0017693968655853,12811950,0.9973,0.0001,1025,,,17,1,,0.985377764198374,2.39784692353365e-39,,462403920,462403920,1025,0.960521298954279,0.0017693968655853,462396888,0.9934,0.0005,0.8983219567690558,0.9623728595606321,0.9766537205591839,0.9627265618955815,6317,0.9807711539070215,28478,18506,65657,38702,48434.952271833,1.00036416897556,68.64945033206595,5.959186575654153,870422,870422,2465,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,227.5348407281001,80048,71683,1561,0.999632603535678,0.985377764198374,908.1976181663155,18169.02932365259,34174.088640762195,655389.8259512266,655389.8259512266,674467.0528930455,12220,7032,413.6470588235294,7032,6.860487804878049,705.540278,1803522,3.488086822983871e-05,,,3.903355121406378e-05,0.001249248724715631,9.455246103278332e-05,0.0001103021469003,2.0005924108214256e-05,0.00020365291148675111,0.0010718526112948362,0.0002793014762299036,0.0010718526112948362,4.650388611963962e-05,0.003534473722819512,4.650388611963962e-05,0.00373501124487522,0.011303275543796643,1.2745812876848223e-08,1.2745812876848223e-08,1.2745812876848223e-08,66.7610505963227,0.006065764959917956,0.0013783651570812821,0.006087437205291758,0.0011821547581951362,0.0012821547581951362,0.006159738027652396,0.006071175198239155,0.006160549697008135,0.005023141026799715,0.005523141026799715,0.0070203994933528595,0.0060658954747939454,0.0070381822259919565,0.9453607729408172,2.6811245520374576,0.9312218122791889,1.6619899879779314,1.6629898816837243,1.6854638741106276,1.0031358388829263,1.6864778902787476,2.653686599038597,2.6577377722332036,2.767931807205005,1.0165704755117544,2.7721573895122424,0.6069855743708401,13.079548272112357,0.3036895749435384,312.58028324839853,313.42653489260863,317.3353181977973,269.9754916475972,318.1944431944222,1733.2338037185007,1562.4232108604942,1820.721574616662,10244.041881491641,1641.289041670204
2246595,746737,1,0.9285846672277879,0.9374426218399705,0.982755981358761,0.982755981358761,7.46242723805972e-05,0.9991919554908022,0.9706433094363773,0.999759054428896,1.95641578951445e-39,35480,17713352,33228955,17,0.96804702657173,0.001462437544232,17701338,0.9975,0.0001,513,,,17,1,,0.990312267904652,3.3753064188783796e-40,,643535582,643535582,513,0.96804702657173,0.001462437544232,643523568,0.9938,0.0003,0.9123522557016813,0.9730008079599478,0.9825191906575766,0.9732353046962565,10961,0.9845855236410911,32785,24957,74912,51763,66343.9977575275,1.00045432488987,55.026701281817786,5.116697186615615,1120903,1120903,3616,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,194.45663392708505,134845,121331,4554,0.999759054428896,0.990312267904652,619.3548056186978,14691.718349051369,27560.590897380815,533758.010247685,533758.010247685,549069.0834023551,12221,12014,706.7058823529412,12014,23.419103313840157,1205.669179,2990678,2.2414981864674668e-05,,,3.75659108682484e-05,0.0011572206229742497,9.494819634198802e-05,7.46242723805972e-05,1.6173959463092197e-05,0.00017347690216451824,0.0009445304953839079,0.00023760174369389652,0.0009445304953839079,3.941973656735484e-05,0.0027232190482039307,3.941973656735484e-05,0.0028708738635051683,0.00871473029361517,5.765922858040666e-09,5.765922858040666e-09,5.765922858040666e-09,91.44633677929237,0.004931596262513896,0.001378366391388805,0.004941843618514242,0.0010191547677645052,0.0011191547677645052,0.00502123287183045,0.004936759256754734,0.0050222285444960265,0.004176209711972462,0.004476209711972462,0.005633521428107044,0.00493173381999088,0.0056415036719779975,0.9620537513075853,2.269075655141235,0.9482454739176424,1.5532421818651818,1.5538650358729473,1.5671331108261226,1.00749958543288,1.5677615351312155,1.6236787018322663,1.6332738057280967,1.6700379913086256,1.0165913957343355,1.679907054700606,0.6177035958415142,11.069416578182198,0.30924132265691195,292.1274404014195,292.8595893748566,295.05627027735994,271.1499134702301,295.7957596765513,1060.4925289267455,960.164291007457,1098.5365294369344,10244.252695834033,994.6091265726081
2433399,806323,1,0.9302080069878526,0.9390768147236743,0.983507750114986,0.983507750114986,7.0224325789565e-05,0.999192111715129,0.9706527020265348,0.999759051195382,1.41596943422034e-39,38217,19152477,35939469,17,0.96802607911789,0.0014346676312167,19139484,0.9974,0.0001,513,,,17,1,,0.990317149672333,2.4679445893015898e-40,,695731650,695731650,513,0.96802607911789,0.0014346676312167,695718657,0.9938,0.0003,0.9146463480335565,0.9737499113514176,0.9832707750982633,0.9739845917745221,11884,0.9845876578218753,35529,26730,81019,55593,71738.0630279915,1.00045438782982,55.01907920758854,5.195643808204418,1215702,1215702,3971,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,196.38743939044102,146584,131483,4974,0.999759051195382,0.990317149672333,618.4046116019376,14688.877906744623,27563.561213217134,533587.2358811856,533587.2358811856,548894.5183995322,12222,12993,764.2941176470588,12993,25.327485380116958,1303.876111,3239447,2.2408775450544593e-05,,,3.4538375654658354e-05,0.0011136416778942094,8.631642409760647e-05,7.0224325789565e-05,1.6170829921470088e-05,0.00016680696166779775,0.0009069564514464078,0.00022850069495812913,0.0009069564514464078,3.791221160625947e-05,0.002611901024282993,3.791221160625947e-05,0.002757815433294446,0.00839048699768041,5.098231870518818e-09,5.098231870518818e-09,5.098231870518818e-09,98.88133307236592,0.004930899260267088,0.0013783663636671233,0.0049411482657056435,0.0009771807772359729,0.001077180777235973,0.005013615214565473,0.004935700897174413,0.005014612399749595,0.004060491713738989,0.004360491713738989,0.0055799457412731785,0.004931028095108878,0.005588004516422001,0.9526813331794225,2.2658501386121457,0.9355067311783344,1.556747400721095,1.5575278034685995,1.57066193996039,1.0074417912213705,1.5714493181135682,1.6310665762090701,1.6355984785088782,1.6776166336013083,1.0163898093390293,1.6822778747737472,0.6116858693146672,11.053681278189268,0.30508697047486094,292.7866876356114,293.54991742090573,295.7206702288447,271.1343592251699,296.4915482543059,1065.3178589457996,961.5309129324246,1103.5216947118417,10242.221297592592,996.01279904104
848270,276828,1,0.9362701450067705,0.9451949101361997,0.984694612686888,0.984694612686888,0.0001149051786755,0.9992203849264308,0.9706630704326007,0.999763483236313,8.99238207869108e-38,13195,6541620,12288542,17,0.968043807457818,0.0018596687709328,6537021,0.9975,0.0001,513,,,17,1,,0.990323468084752,1.57308133441716e-38,,246161281,246161281,513,0.968043807457818,0.0018596687709328,246156682,0.9935,0.0005,0.9217221135029354,0.9749355406905916,0.9844617159038752,0.9751661838404505,4239,0.9845938849531587,12103,9290,27780,19293,25380.8116857633,1.00045457157627,54.99683945300476,5.1639486844966305,417725,417725,1397,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,197.43639921722112,51255,46035,1770,0.999763483236313,0.990323468084752,599.8494161885405,14174.819519439076,26627.634287385525,533398.7194072611,533398.7194072611,548173.3883428887,12223,4599,270.52941176470586,4599,8.964912280701755,461.495823,1128517,2.2390671233159988e-05,,,0.0001017285453967018,0.0019006186760478483,0.00026007380153486,0.0001149051786755,1.560446694903172e-05,0.00028526587417265705,0.0015472296030682353,0.0003909825220604718,0.0015472296030682353,6.373678137231391e-05,0.0044170455826106885,6.373678137231391e-05,0.004660751266455191,0.014158322957529392,1.361683205421346e-08,1.361683205421346e-08,1.361683205421346e-08,34.98408739481146,0.004929927503228391,0.0013783675568921564,0.004956563057234767,0.0016621347817437353,0.0017621347817437353,0.005167020866192685,0.004944054933650235,0.005167988451193617,0.005910318318161246,0.006410318318161246,0.0066192504761430895,0.004930297550086795,0.0066381079281614954,0.9369278009634903,2.197635958508446,0.9232306181720478,1.5100863090099295,1.5106918574045203,1.523567306657796,0.9725159137613718,1.5241782609662295,1.6100584475052393,1.6171363749855199,1.6559699948017486,1.0164176183756808,1.6632497525961871,0.6015710358308203,10.72090648753999,0.301083490861649,284.01086024239044,284.7226669096646,286.85379940826823,261.7347040907396,287.57273123635906,1051.5965706687512,950.6774647978608,1089.2827231527517,10242.501530929094,984.7469710141954
1567438,512688,1,0.9272281082800202,0.9357082729027096,0.981555924550372,0.981555924550372,9.24091037484574e-05,0.9992097782193373,0.9712377585318043,0.999769216659597,7.88445781671468e-39,24857,12385700,23262907,17,0.968781144617872,0.001579753348178,12377108,0.9976,0.0001,513,,,17,1,,0.990708478620304,1.3164477533306701e-39,,450810776,450810776,513,0.968781144617872,0.001579753348178,450802184,0.9942,0.0003,0.9099162011173184,0.9722113547151725,0.9813293977953118,0.972435776692045,7818,0.9849096272184206,22274,17216,51229,35974,46438.125779468,1.00046408718404,53.86918850564089,5.128491620111731,777264,777264,2592,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,194.88268156424581,93700,84070,3264,0.999769216659597,0.990708478620304,594.7287073500065,14367.668739320945,26985.454329559925,522949.8448762861,522949.8448762861,537912.242322957,12233,8592,505.4117647058824,8592,16.748538011695906,862.053561,2076534,2.1482299970596165e-05,,,5.5693857928380976e-05,0.0013966044573307953,0.00014268848265543613,9.24091037484574e-05,1.5816934499398358e-05,0.00020733279758851846,0.0011342681134700635,0.0002841448059488632,0.0011342681134700635,4.709804232610643e-05,0.0032668576019240056,4.709804232610643e-05,0.003448891058029152,0.010291449799741212,8.863381012157218e-09,8.863381012157218e-09,8.863381012157218e-09,64.0087694267275,0.004836430326566304,0.0013783667698138052,0.004846871117608172,0.001226677217218521,0.001326677217218521,0.004967657642889934,0.004843881023402656,0.0049686640515296246,0.004737633475483576,0.005037633475483576,0.005836387315366974,0.0048366261578462145,0.005844092478304609,0.9605148971725115,2.2241358414045194,0.9384507964131829,1.5406112378835692,1.5410745331636067,1.5537517709562045,1.0060639347488338,1.5542190178801083,1.613831546726266,1.618105612913186,1.658019619579099,1.0160337882936976,1.6624107133135524,0.6167155473760114,10.850183024611392,0.306047087503895,289.75186408867006,290.4489415483862,292.53686193479075,270.76353459287765,293.24063946951753,1054.0609397155847,951.2472575933929,1090.630948583117,10238.63365208554,984.2502077404617
1634039,414972,1,0.9481985171923959,0.9528590595591643,0.986867688642321,0.986867688642321,7.91329797964897e-05,0.9994234351506968,0.978856910554581,0.999876432090433,2.6610346480524402e-39,29142,12697915,23777865,17,0.977195726681232,0.0013360320283495,12685844,0.9977,0.0001,513,,,17,1,,0.99498592239066,4.47583269508625e-40,,465642595,465642595,513,0.977195726681232,0.0013360320283495,465630524,0.9945,0.0003,0.9356308507994366,0.9817981237265967,0.9867457434650162,0.9819194574613184,11294,0.9889961253355768,17054,17137,39397,35270,47572.742348677,1.00063654449229,39.27455237293969,5.676994449507084,735448,735448,4031,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,213.93770193024605,88139,78942,5034,0.999876432090433,0.99498592239066,342.58776649559223,10482.997260058217,19630.25375780466,384419.8080985262,384419.8080985262,395245.39312508004,12234,12071,710.0588235294117,12071,23.530214424951268,1211.286685,2049864,1.1422787824727815e-05,,,0.0001141071374862759,0.0015523534208451576,0.001187234005971106,7.91329797964897e-05,1.1537949362100038e-05,0.00020507540197645756,0.001166068367958319,0.00028062980352911386,0.001166068367958319,4.634188013573366e-05,0.003368340138795442,4.634188013573366e-05,0.0035591470970689943,0.008804353518932153,6.429795784734722e-09,6.429795784734722e-09,6.429795784734722e-09,65.5728586786927,0.0036509070803476913,0.0013783703743275538,0.003664719211770475,0.0012452013477548085,0.0013452013477548085,0.0038326019814318595,0.003660816701836077,0.0038339063561953902,0.00482584349291441,0.0051258434929144095,0.004967377356306136,0.0036511782087271074,0.0049764282170993825,0.9671810361450991,1.7349543131127283,0.9557431506046472,1.415057992395892,1.4153416564216306,1.4208400362688212,1.0019124530315433,1.4211248593692056,1.473616541089363,1.4744860650850826,1.4946140508433456,1.0077256309083058,1.495495964655597,0.6209956595923507,8.463768932712542,0.31168646109344367,266.1383228993864,266.75185215935295,267.51254176566346,269.6462399312298,268.12923901539887,962.4806499984394,866.8166123264722,983.1441804354158,10154.911849943754,885.4263282226972
1602316,406787,1,0.9485953175165641,0.9532394673104185,0.987128081247245,0.987128081247245,7.90432087801881e-05,0.9994245380270163,0.9789007984893296,0.999877521297502,2.81795849716565e-39,28319,12486420,23382503,17,0.977268145887215,0.0013395555222904,12474526,0.9977,0.0001,513,,,17,1,,0.995006152513837,4.75866442707874e-40,,457812165,457812165,513,0.977268145887215,0.0013395555222904,457800271,0.9952,0.0003,0.9362703884311417,0.9820782157605776,0.9870071790806545,0.9821985141601876,11136,0.9890202396655566,16798,16991,38687,34957,46767.2529017006,1.0006379433968,39.18842976586918,5.647133008239448,722485,722485,3951,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,213.88658146964855,86539,77667,4959,0.999877521297502,0.995006152513837,340.8655157204872,10462.944963341026,19593.273491854063,383621.84564855264,383621.84564855264,394425.65612761414,12238,11894,699.6470588235294,11894,23.185185185185187,1193.394407,2011248,1.1372777975640985e-05,,,0.00012082718701287064,0.0015678931665464185,0.0007831965333825881,7.90432087801881e-05,1.1515866402875786e-05,0.00020680188861666392,0.001176482800922913,0.00028299647793548165,0.001176482800922913,4.6736516126465515e-05,0.003399335766700367,4.6736516126465515e-05,0.003588242079502251,0.008872658569423231,6.411831653864091e-09,6.411831653864091e-09,6.411831653864091e-09,64.46259810908275,0.0036440492349900603,0.0013783704218169016,0.0036578697693036982,0.001255526009703101,0.001355526009703101,0.003829256665188052,0.0036541623687335965,0.003830562179091617,0.004856749397292068,0.005156749397292068,0.0049834303929911635,0.003644326429693111,0.00499245215117662,0.9768629687609173,1.729756027971935,0.9641975722236941,1.4136836824692045,1.413967070999318,1.419429704579089,1.0021636333137365,1.4197142449628875,1.4713953672115678,1.474227949934121,1.4922625328897394,1.0077521581064557,1.4951352869858652,0.6272121153603964,8.43840971492479,0.31444361269151216,265.87984830612027,266.4927817040396,267.24700771156705,269.71384046701843,267.8630928250647,961.0299083583657,866.6648723364888,981.5973722878724,10155.179166116506,885.2127846810694
2653369,674263,1,0.9464284946320827,0.9510600493101434,0.986977199795477,0.986977199795477,6.17269411255042e-05,0.9994248160766652,0.9789078471082736,0.999877106902522,3.76256921900996e-40,46989,20713558,38797141,17,0.977283154066032,0.0011798988658713,20693819,0.9977,0.0001,513,,,17,1,,0.995007818685317,6.27244264223399e-41,,759571877,759571877,513,0.977283154066032,0.0011798988658713,759552138,0.9952,0.0002,0.9339885505851361,0.9819293434904935,0.986855907110254,0.9820500306606399,18436,0.9890239533372089,27617,27800,63336,57631,77592.8150173355,1.0006381593784,39.17516665282526,5.6040832868939665,1192660,1192660,6507,0.6420676547458559,4.878381447133018,0.326119481888263,188.0759123156337,188.47170289170626,188.2777335499085,269.1315385045329,188.67394884247773,653.1418609667145,587.8771138311531,657.791340768321,10077.060202180926,592.0619975906154,213.81280713308678,143181,128306,8227,0.999877106902522,0.995007818685317,340.42282635231777,10457.889515178296,19587.95365252044,383493.68894048035,383493.68894048035,394292.0012820109,12239,19739,1161.1176470588234,19739,38.4775828460039,1980.663304,3326214,1.1365086073562881e-05,,,7.621706785948044e-05,0.001217826263407474,0.0006280371194205872,6.17269411255042e-05,1.151029900563635e-05,0.0001605462398463071,0.0009156756660761308,0.00021972154675753628,0.0009156756660761308,3.628403370131179e-05,0.002642757441319973,3.628403370131179e-05,0.002791749950268988,0.006878891781196381,3.911427383392195e-09,3.911427383392195e-09,3.911427383392195e-09,106.9516217794672,0.0036426503856310925,0.001378370171976159,0.003649566381672835,0.000977402607201635,0.001077402607201635,0.0037559770709338154,0.003648753273331307,0.0037573080466446404,0.004082854554420453,0.004282854554420453,0.0045003409565930325,0.003642817199766625,0.004504782872191366,0.9723529123747806,1.7280298956388345,0.950084520624738,1.4067816968521878,1.4070637018029453,1.4124978854591506,1.00201429999591,1.4127810362831374,1.4675386508217922,1.4681205622322848,1.4883411646677365,1.0077436153941812,1.4889313247333273,0.6243163540337782,8.429988982975695,0.3098410716161983,264.58175106441047,265.19169195590905,265.9419005182871,269.67365016144186,266.55497696530733,958.5109254383268,863.0744788812855,979.0179302274748,10155.093080690625,881.5396543968551
