Run_Start,Run_End,setcurr,threshold
12126,12126,70,2.5
12128,12128,55,2.5
12129,12129,40,2.5
12130,12130,25,2.5
12131,12131,12,2.5
12132,12132,18,2.5
12133,12133,8,2.5
12135,12135,5,1.0
12137,12137,3,0.5
12140,12140,12,2.5
12141,12141,70,2.5
12142,12142,70,2.5
12143,12143,70,2.5
12144,12144,70,2.5
12145,12145,55,2.5
12147,12147,40,2.5
12148,12148,25,2.5
12150,12150,18,2.5
12151,12151,12,2.5
12152,12152,8,2.5
12153,12153,5,1.0
12154,12154,3,0.5
12158,12158,40,2.5
12159,12159,25,2.5
12160,12160,18,2.5
12161,12161,12,2.5
12162,12162,8,2.5
12164,12164,5,1.0
12166,12166,3,0.5
12167,12167,55,2.5
12168,12168,40,2.5
12170,12170,25,2.5
12171,12171,10,2.5
12172,12172,18,2.5
12174,12174,5,1.0
12175,12175,18,2.5
12176,12176,70,2.5
12181,12181,70,2.5
12184,12184,55,2.5
12185,12185,40,2.5
12186,12186,25,2.5
12187,12187,18,2.5
12189,12189,10,2.5
12190,12190,5,1.0
12191,12191,70,2.5
12192,12192,70,2.5
12193,12193,55,2.5
12194,12194,40,2.5
12195,12195,25,2.5
12196,12196,18,2.5
12197,12197,10,2.5
12198,12198,5,1.0
12199,12199,70,2.5
