COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,ELT2_SHMS,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
3426,1289386,1,0.9403444878103816,0.9335892452470321,0.994430030722975,0.994430030722975,0.057774271713364,0.9928162044326124,0.9884581485681427,386,77051309,98656278,1025,0.987664289700108,0.001364307322302,77045430,0.9947,0.0004,2049,,,1025,1,,,123794553,123794553,2049,0.987664289700108,0.001364307322302,123788674,0.9922,0.0045,0.9283891818336452,0.9872862486761902,0.9872862486761902,0.994430030722975,5458,0.9777175516097355,13632558.5689093,8016212.46064183,13654387.781665,8023479.02860937,46964.9298499014,0.999585495731044,79.61317282237306,48.12042864432727,1040389.98431312,1024713.5876538,276,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,79.46453478482735,156656.418109623,155648.933403014,228,1.0,1.0,2185.71838137141,130614.46486159177,167238.391189518,209851.84421558573,209851.84421558573,342652.0274585489,16260,5879,5.735609756097561,5879,2.8692044899951195,589.914058,1421765,4.68388968921026e-05,,,1.8745695134966014e-07,0.0008806605148192539,1.8780899822467684e-07,0.057774271713364,0.000144715518044814,0.00010067870867945664,0.0009803968758995384,0.00011392262657247198,0.0009878676245773568,8.987713747687691e-05,0.002526538402975372,8.987713747687691e-05,0.0025347021050222025,0.012567462379022272,1.0106924235883048,0.010692423588304833,1.003375363090286,64.73479353046113,0.015231054276075651,0.0013783645315208534,0.01589705503503427,0.05875466858926354,0.059154668589263534,1.0107170103755598,0.0069837458874063415,1.0107170895272868,0.061679174647860054,0.06617917464786005,1.0107196927342303,0.058194616036050195,1.01072971029884,0.9662524409907982,3.1698447431372556,0.969840654685624,7.194693704245857,7.1126169544059845,7.379008511426868,0.9946138067605829,7.29482910636043,11.767488858337385,11.604347176813665,12.068950258792722,0.9988908334412593,11.901629187734256,134.88404837773356,27.340384492218668,136.58248470314228,22842.949162974368,22618.63475215257,23532.59955923126,1690.717278875145,23301.512882656665,6875.785122390842,6885.270863585382,7083.371625359561,2728.447424655037,7093.143750117229
3766,1314959,1,0.9367216563643129,0.9300033092039385,0.997963025117749,0.997963025117749,0.057162189853678,0.9928278084373,0.9884768872388455,491,78824614,100905100,1025,0.987711330588917,0.001353973945445,78818591,0.9942,0.0004,2049,,,1025,1,,,126642590,126642590,2049,0.987711330588917,0.001353973945445,126636567,0.9952,0.0034,0.9281089158226797,0.990805443129113,0.990805443129113,0.997963025117749,5590,0.9777571927148436,13879281.0808896,8132210.13302487,13906212.6255731,8140821.21339951,48037.9653259032,0.999584757308773,79.4715974469869,60.24406441972439,1062765.11672056,1047383.50402243,354,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,98.65681554042837,159697.930084659,158873.092129714,290,1.0,1.0,2175.4021345059464,130403.48295818143,166932.3301506252,209511.14111189885,209511.14111189885,342090.0262045862,16261,6023,5.87609756097561,6023,2.9394826744753537,604.467091,1450371,4.667238969317323e-05,,,1.8379011296108362e-07,0.0008720550352741773,1.8421019911049191e-07,0.057162189853678,0.00014448006999298184,9.95504990338285e-05,0.0009700214870275844,0.0001126338874549035,0.0009771182732980243,8.886077734672975e-05,0.0025023632680163574,8.886077734672975e-05,0.002508850748295944,0.012414421861558897,1.0105343923236403,0.010534392323640117,1.003280868428833,66.21382705106396,0.015082795531448116,0.0013783645206839677,0.015470112264889648,0.058132211340705585,0.05853221134070558,1.010558890559595,0.00697178881839385,1.0105589697237065,0.06104291764237817,0.06444291764237817,1.0105615231985035,0.057585554816731006,1.0105672427747099,0.9573075670455486,3.1604400492615023,0.9583743053913177,7.1598283856557945,7.085984355356829,7.342866467770523,0.9947248734157932,7.267134645061811,11.686489285665253,11.504372698765955,11.985249600896829,0.998986913379886,11.79847727799496,133.63538833944523,27.259267602455726,134.9676807974449,22732.252761870634,22533.94116690049,23417.337970997563,1690.90607809731,23213.0498306346,6828.456787229134,6825.9524589982275,7034.246982996257,2728.709864805983,7031.667181461065
6776,1300981,1,0.9668471325778074,0.9633103087306795,0.998483088968872,0.998483088968872,0.028904737575881,0.996341899636504,0.9941190757016993,1049,128937937,164251927,1025,0.993743915700653,0.00085258658289,128918619,0.9958,0.0003,2049,,,1025,1,,,207286343,207286343,2049,0.993743915700653,0.00085258658289,207267025,0.9968,0.0022,0.9618490526969665,0.9948305376181703,0.9948305376181703,0.998483088968872,18581,0.988902228113238,12530114.3669815,12194656.8456086,12548230.4333145,12203594.0645035,76900.11609602,0.999168093084422,39.66789959557854,79.90734030437933,1111684.636885,1103954.40820847,1506,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,129.18946060668804,165013.655019685,165516.066260452,1218,1.0,1.0,671.0937031527617,66510.91569992759,84727.16660766535,106925.89633273933,106925.89633273933,174107.90573581966,16266,19318,18.846829268292684,19318,9.428013665202538,1938.598133,1525856,1.1618563267287135e-05,,,6.848381358028187e-07,0.0008767272857404562,6.945204924253993e-07,0.028904737575881,7.343062386176063e-05,7.80269737546885e-05,0.000948438550350381,8.806627789983789e-05,0.0009517533869747273,6.945678152139496e-05,0.0024617279582282194,6.945678152139496e-05,0.002457988926103954,0.0070564000031780386,1.0045207197043327,0.0045207197043325795,1.0008380243427604,105.9968116900558,0.00820606869175432,0.001378369982663191,0.008503025901709265,0.02985317612623138,0.030153176126231383,1.0045278962368693,0.0036785343279922595,1.0045279410340315,0.03274483551677224,0.034944835516772244,1.0045304648874156,0.029137727187470198,1.0045328739702486,0.9911760319360116,1.933934085597039,0.9892174586427356,4.677990542722473,4.6575727615032045,4.726781857009562,1.0017787957571371,4.706151118886808,7.542530515783718,7.474247976438837,7.621198904177124,1.0045587402967748,7.552204179801712,138.36325805854307,16.680470422819344,139.31131651410186,14852.487756250523,14811.4172040091,15074.310386360632,1702.8968511041685,15032.626443415387,4407.1271050204305,4434.736485841411,4472.947763600255,2743.929182366077,4500.969491872378
12820,413863,1,0.9881861499070346,0.9863669715803564,0.99705761188725,0.99705761188725,0.006397963414997,0.9981590732405535,0.9970403467528322,6881,60938586,77436199,257,0.996860485000485,0.000727755701923,60920443,0.9971,0.0002,513,,,257,1,,,97970809,97970809,513,0.996860485000485,0.000727755701923,97952666,0.9912,0.0026,0.983464697128369,0.9952221018488169,0.9952221018488169,0.99705761188725,17843,0.9944456481049353,3124959.09773333,5431780.04791076,3124564.1719425,5434295.44010511,36175.6035929455,0.998339202411989,19.869971053802313,70.6562310532988,507397.01413686,506012.667050934,4988,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,113.89318194344925,71107.3801551226,71751.0000359138,4028,1.0,1.0,227.32021068042158,33471.39562629901,42532.947064538384,53811.87722123346,53811.87722123346,87510.5930582129,16268,18143,70.59533073929961,18143,35.36647173489279,1820.616824,842601,2.9103660918744066e-06,,,4.6715486665794223e-07,0.0015544318963311345,4.674702166680105e-07,0.006397963414997,3.6886440424166984e-05,0.00011363915255500559,0.0014038672617681586,0.0001281013815673061,0.0014057862968845035,0.0001010303023899433,0.0037500983786873145,0.0001010303023899433,0.0037332409482727555,0.007362691565611266,1.0018963994249597,0.0018963994249597239,1.0000411758902734,49.86420390701561,0.007801138305347805,0.0013783931421927841,0.008232773347259347,0.007801830676765159,0.00800183067676516,1.0018997835900223,0.0021972947730677862,1.0018998035520983,0.01152645493587198,0.01412645493587198,1.0019058183044425,0.0067642055503913745,1.0019091918693503,0.9965298348634265,1.2703619071849837,0.9989355146228028,1.1405832837788472,1.138950013749762,1.1439687530166778,0.9997049065576799,1.1423306351299054,1.7337216731593756,1.738079147356726,1.7388676905304135,1.001453994221018,1.7432380985442242,139.11062239360834,10.957061244687509,140.67990858727296,3621.3196889984306,3621.9431648159807,3648.2623012734566,1699.37150259185,3648.8904157500206,1013.0196705671709,1031.264019385065,1020.5565351787055,2735.448639597031,1038.9366219205128
16251,527136,1,0.9847438677027976,0.9829315166417281,0.997144177091833,0.997144177091833,0.005666282472078,0.9981595711123366,0.9970439077013515,8732,77698869,98729438,257,0.996866029999441,0.000684419789439,77675725,0.997,0.0001,513,,,257,1,,,124799730,124799730,513,0.996866029999441,0.000684419789439,124776586,0.9919,0.0023,0.9801244382993433,0.9953090041431478,0.9953090041431478,0.997144177091833,22684,0.9944491690602784,3940692.10910186,6873301.95246339,3947865.04140483,6878074.05511229,46108.4631180202,0.998338150699843,19.857396213291405,70.71275492568267,645537.426447221,643813.031351497,6368,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,114.1083650190114,89681.5717419683,90464.7885669878,5148,1.0,1.0,227.0201108958375,33462.34341206283,42519.51671569332,53747.13270270021,53747.13270270021,87436.49622565888,16269,23144,90.05447470817121,23144,45.1150097465887,2321.979308,1070065,2.9066774450954406e-06,,,3.688662470792604e-07,0.0013773320758554324,3.689750120201604e-07,0.005666282472078,3.6876446230185355e-05,0.00010064139954705798,0.0012446271969957072,0.00011344690479888966,0.0012462928931926255,8.951445608552292e-05,0.0033392458468219743,8.951445608552292e-05,0.0033247593325394648,0.0065077460079361465,1.001886689785058,0.0018866897850581218,1.0000322909280415,63.55557925507376,0.006992313438216878,0.001378392923062947,0.007367445831515817,0.006910909669073707,0.007010909669073707,1.001889861666349,0.0021956490083648718,1.0018898666569176,0.010383921241960446,0.012683921241960446,1.0018946533322663,0.006076299399031065,1.0018972933269068,0.9931275191770687,1.269400608118385,0.9948727529736795,1.1384092464214866,1.1369581764867456,1.141783650565115,1.0000643111502971,1.140328279456244,1.7154015739280881,1.717957671779893,1.7204862639877,1.00087617015901,1.7230499384708526,138.63567599847744,10.948769896617634,140.1077505960473,3614.4171818349514,3615.608978703233,3641.293730779346,1699.9824447994836,3642.4943897643257,1002.3151721604473,1019.3252340824044,1009.7683164509476,2733.8703264109363,1026.9048639828366
1434,25191,1,1.00320672290481,1.0020923783290294,0.997459627933585,0.997459627933585,0.021774031667127,0.9988892173962372,0.9982164844834293,533,4470867,5678767,257,0.998132408540375,0.001078444463002,4468661,0.9971,0.0006,513,,,257,1,,,7178597,7178597,513,0.998132408540375,0.001078444463002,7176391,1.0,,0.9995466908431551,0.9963516671309206,0.9963516671309206,0.997459627933585,2205,0.9966584790613074,139484.553390638,384175.12746308,139573.118161182,384568.76907533,2649.17582503735,0.997242417418294,11.967003352473515,77.12330009066183,32735.7958595577,32670.4244114456,662,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,123.94786944696284,4533.07201821553,4571.93686466489,533,1.0,1.0,113.79417651446752,20196.04734114199,25652.43993420401,32427.554846739986,32427.554846739986,52737.396364396445,16270,2206,8.583657587548638,2206,4.300194931773879,221.373367,56961,1.0533415480356712e-06,,,6.3133134177314545e-06,0.006300533079152696,6.319580761273968e-06,0.021774031667127,2.2240356276109987e-05,0.00041963622840470577,0.005526988336637939,0.0004729379066094979,0.0055325151499584155,0.0003732331528193756,0.01485264122652049,0.0003732331528193756,0.014789377271492715,0.021291053768823412,1.0015942157830768,0.0015942157830768917,1.0004765264889448,3.652075412068344,0.02136993276435867,0.001378570436004393,0.02137840320209295,0.02730102000376494,0.02790102000376494,1.0016109396807338,0.0017826841642481777,1.001611119391215,0.038005243306963435,0.038005243306963435,1.0017058090275073,0.0218449434872219,1.0017058090275073,0.9834332964751591,1.008710067781777,0.9766206402700985,1.0055630597864396,1.004859548477908,1.0055729676967324,0.9995066433604046,1.0048694494564356,1.5103048988055847,1.5000661823531816,1.5103197799861396,0.9995992038235474,1.500080962650671,137.28241059035275,8.700275038401644,137.53730885173317,3192.6342939812885,3195.5258169997915,3206.900485309126,1699.0344803113228,3209.804929012183,882.4764636274883,890.0424833413242,886.4197834421494,2730.38232212386,894.019611689907
23092,350536,1,0.9900720342895521,0.9889726742477319,0.997139342132179,0.997139342132179,0.004299990451538,0.9988896161049442,0.9982170014567923,6171,62416674,79245499,257,0.99810480975105,0.000562018906087,62385858,0.9973,0.0002,257,,,257,1,,,100225552,100225552,257,0.99810480975105,0.000562018906087,100194736,0.9962,0.0013,0.9861435617860852,0.996032134665549,0.996032134665549,0.997139342132179,30389,0.9966607502075258,1940384.04208985,5404236.05963517,1942245.12066304,5407100.55101544,36972.6948184644,0.997240547060718,11.95889211597955,62.340180425752855,456118.49858623,455458.867522308,7475,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,100.33641614745586,83294.9244386353,84177.8831783682,12031,1.0,1.0,113.38157057119582,20188.798091923007,25632.11521018705,32418.155331050322,32418.155331050322,52720.33499354453,16271,30816,119.90661478599222,30816,119.90661478599222,3091.64883,980101,1.051910176087059e-06,,,4.4941497093566735e-07,0.0016890157007778345,4.4967008967968516e-07,0.004299990451538,2.223236436045085e-05,0.00011233438131857727,0.0014806798182269991,0.00012657551079653983,0.0014817516483033686,9.988741441851559e-05,0.003464900205089931,9.988741441851559e-05,0.003446680283618755,0.005657035289514445,1.0011366016918257,0.0011366016918257333,1.0000185961602082,50.964875135273594,0.005988298701014309,0.0013784463206109817,0.00613211674660833,0.0057806702697649984,0.005980670269764998,1.0011391709868394,0.0017229451740633699,1.0011391909640817,0.009143336977230491,0.010443336977230492,1.0011440719521458,0.004631621726107065,1.0011449159861538,1.0048822324744668,1.0053612532445075,1.0020742344221782,1.0042320086640735,1.003881875358585,1.0042392141934076,0.99982445842651,1.0038890783756556,0.9964976428477174,0.9955140273784234,0.9965047928817087,0.9999861642238613,0.9955211703548126,140.2765756741842,8.671391012696505,141.12193393124517,3188.4082442880845,3192.416745987712,3202.6469752263206,1699.5747256005989,3206.673378014139,582.257077076846,590.6737899650883,584.8573093000043,2731.4392955911635,593.3116093794147
23766,357599,1,0.9927050327499216,0.9916043699931191,0.997150669424332,0.997150669424332,0.004240252752892,0.9988912489405302,0.9982199093933204,6390,63988157,81243034,257,0.998116440285783,0.000556840526791,63956520,0.997,0.0002,257,,,257,1,,,102732454,102732454,257,0.998116440285783,0.000556840526791,102700817,0.9938,0.0015,0.9887789613427316,0.9960450775631566,0.9960450775631566,0.997150669424332,31282,0.9966662722106437,1984582.37673664,5527588.82825563,1988861.93869984,5530470.96815208,37896.7881596979,0.997235988922951,11.939170676272242,62.607042387078415,465551.652635371,464900.629637295,7707,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,100.73015772671239,85677.4454751768,86462.4062794474,12400,1.0,1.0,112.65956040054851,20159.11017217968,25595.1624474532,32365.283757811325,32365.283757811325,52637.053490391554,16272,31637,123.1011673151751,31637,123.1011673151751,3174.155826,1003777,1.0484340369461032e-06,,,4.393452866688228e-07,0.0016722524933889076,4.396371021142745e-07,0.004240252752892,2.2199635058287457e-05,0.00011094479529433626,0.0014656020495863395,0.00012501156703504502,0.0014666278675577245,9.86611489787948e-05,0.0034163845200241333,9.86611489787948e-05,0.0034008411038061533,0.00559060421902013,1.001134416944118,0.0011344169441181234,1.0000180826434588,52.23869748444595,0.0059090450660148385,0.0013784465655667583,0.006102066560455606,0.00570585480247834,0.005905854802478339,1.0011369623225275,0.0017218216187329931,1.001136982299814,0.009035083838474959,0.010535083838474959,1.0011417187502472,0.004575808824871624,1.0011428424666478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541
3597,874558,1,0.9513093098128883,0.9461159292166855,0.998278342746761,0.998278342746761,0.052142716019226,0.9945408075558261,0.9912301960514723,666,64942823,82926283,1025,0.990687242945515,0.001236133675251,64936302,0.9947,0.0004,2049,,,1025,1,,,104326021,104326021,2049,0.990687242945515,0.001236133675251,104319500,0.9877,0.0061,0.9444870418647446,0.9928285491608554,0.9928285491608554,0.998278342746761,6159,0.9833704512762381,9070819.29404362,6467517.51490254,9085320.36685317,6473020.83103922,38880.2567634711,0.999444671114382,59.424245442006836,98.24030056739764,728586.133364965,719979.119240905,625,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,157.4220211623984,108215.863783942,108123.323004065,501,1.0,1.0,1336.6668219665046,99258.04443952627,126743.8079065139,159450.98088232093,159450.98088232093,260045.6921438137,16273,6521,6.361951219512195,6521,3.182528062469497,654.282717,988865,2.608805898013131e-05,,,3.182339678425524e-07,0.001069315080202763,3.1896860833461087e-07,0.052142716019226,0.00010978317637041722,0.00010981303641035378,0.0011715465496264,0.00012408932394494958,0.0011785283913844184,9.79047309231526e-05,0.0030398666641193468,9.79047309231526e-05,0.0030411672691015882,0.012035727619993166,1.0082363576085986,0.008236357608598695,1.0027282489662916,53.591232171927366,0.01379766244565601,0.0013783662103357983,0.01512216037276858,0.053314262568852404,0.0537142625688524,1.0082509178163745,0.005292957858896704,1.0082509971616997,0.0565609488936806,0.06266094889368061,1.0082548197482517,0.052410498677153514,1.0082732722558798,0.9842504737453095,2.589904377782403,0.9924152431597788,6.063527796208427,6.014162402427238,6.172393155520385,1.0051789895131533,6.122141449098737,9.782612661773785,9.745327586531188,9.958250949949795,1.0082967701127385,9.920296453662276,137.3964844842589,22.338312196505324,139.76165993162397,19251.529375785914,19125.470075590616,19684.54924886837,1708.6767490864252,19555.65452811474,5716.014980569099,5782.248588848427,5844.583887127588,2754.1395251615086,5912.307271522417
3456,1005904,1,0.9475884960438251,0.9424283457950027,0.997876634210634,0.997876634210634,0.048443634731846,0.9945544397485131,0.9912512823837394,464,74868717,95587258,1025,0.990679382139369,0.001193424791638,74861180,0.9946,0.0004,2049,,,1025,1,,,120282438,120282438,2049,0.990679382139369,0.001193424791638,120274901,0.9975,0.0025,0.9404272256866127,0.9924426368754891,0.9924426368754891,0.997876634210634,7088,0.9834132355343531,10333713.2773827,7426232.42131969,10353318.9583694,7432939.34609869,44819.3985662447,0.999443239484592,59.27144452016743,60.11012339126973,833217.028740886,823517.44359519,442,139.59504023547206,8.625149402478106,140.82981987119916,3174.971736391487,3180.07210245467,3189.1275803232265,1699.8731240035197,3194.2506867419083,584.3035166775857,593.3354766688348,586.908676684539,2731.477087696677,595.9809063306541,97.86917871832294,124169.561445152,123794.289147107,360,1.0,1.0,1330.2584379951445,99010.18639067,126409.43521381651,159067.59302292048,159067.59302292048,259408.03785158563,16275,7537,7.353170731707317,7537,3.6783796974133725,756.171862,1130527,2.595399371475622e-05,,,2.813212589933609e-07,0.0009970610074749142,2.8213041814674505e-07,0.048443634731846,0.00010950753490907724,0.00010228218525921925,0.0010955215661914762,0.00011557124840911006,0.001101954337296244,9.117985325080033e-05,0.0028378695386834666,9.117985325080033e-05,0.002842167668897459,0.0111709583341606,1.0078554872192307,0.007855487219230621,1.0023567837480103,61.777538903748685,0.012998269572592354,0.0013783660843296505,0.013243795587345467,0.04953915629803748,0.049939156298037475,1.0078699009158831,0.005280079108389021,1.0078699802912041,0.05265987035485876,0.05515987035485876,1.0078733008211938,0.048730359598256,1.0078764014045614,0.9869198176424794,2.5840411883101653,0.9854488503590805,6.0178467861779685,5.970493552903139,6.125541507497229,1.0051974827215964,6.0773408459906255,9.741315129384327,9.588006844941729,9.91564462885775,1.008401483479678,9.759592756292088,137.76911165298665,22.287741311332237,138.7805840883496,19106.493460049394,18986.599985472738,19535.13336597413,1708.708185194434,19412.550170870207,5691.884687163833,5688.904611647551,5819.57786759706,2754.425547324079,5816.530936313045
