COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,ELT2_SHMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateCOINCorr,rateCOINCorrUncer,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
379556,2372573,1,0.9390047811744344,0.9506510157136921,0.997267795776677,0.997267795776677,3.14379334814515e-05,0.9969576816391221,0.9851334163149144,0.998382639710258,6.69117162472569e-41,3013,122309369,415222110,513,0.983888417401847,0.0010529321594512,122287333,0.9956,0.0003,4097,,,513.0,1.0,,0.986151654638139,2.60098240364937e-41,,597676592,597676592,4097,0.983888417401847,0.0010529321594512,597654556,0.9924,0.0006,0.9349246687239063,0.9818666821599739,0.9956548544455492,0.9834572869224998,20602,0.9814551129465612,20627,46808,47441,80634,146392.880777419,1.00037760506253,66.20673947656738,40.3443909965511,774986,774986,1733,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,200.0531856961336,428036,395635,1076,1,,0.998382639710258,0.986151654638139,1073.0052012499739,55314.879288688826,187785.7851808938,270301.52154701186,270301.52154701186,326689.40603695065,14613,22036,42.955165692007796,22036,5.378569685135465,2211.147716,2752460,3.244361395113913e-05,,,3.175944538305942e-05,0.0006492174852767128,5.1650138299519604e-05,3.14379334814515e-05,6.103204613210709e-05,4.907493855225602e-05,0.001135933928588853,9.042117310618074e-05,0.001135933928588853,4.090410329920467e-05,0.0015284803207583739,4.090410329920467e-05,0.0015898371744323923,0.006513750814185333,9.937665897231622e-10,9.937665897231622e-10,9.937665897231622e-10,201.78282526589194,0.005860417888811307,0.0013783650147078791,0.005899222839368109,0.0011673718620703044,0.0014673718620703043,0.0059694927524555,0.005861348391292798,0.0059770263276665205,0.0029382832689476774,0.003538283268947677,0.006056463483126523,0.005860560174099231,0.006086111231520917,0.9275388062667514,1.3031567888877575,0.9228582616519909,2.5706453945673764,2.5693543914564048,2.5990751622834463,0.29317926504585523,2.5977698814667107,3.7032844619120984,3.69090115917184,3.8664734822000146,1.1364310321609115,3.8535444965496533,0.5153351732284293,16.050300724171212,0.31103736530386983,2722.1716671896716,2734.2021566790595,2764.8704122355166,854.7780650859999,2777.0896065041347,12007.44339851799,11183.511797974808,12600.728960257995,4280.1315390934,11736.08705143021
292247,1474226,1,0.9512169242373077,0.9588257544955516,0.997935797526273,0.997935797526273,3.41217838729323e-05,0.9975519344262941,0.9883582459452043,0.998951369442669,9.54694527861438e-41,2899,94864642,322021092,513,0.987440542999615,0.0009963820711936,94843402,0.9953,0.0004,4097,,,513.0,1.0,,0.991024119501069,3.65404788197235e-41,,451127961,451127961,4097,0.987440542999615,0.0009963820711936,451106721,0.9938,0.0006,0.9482580037664784,0.987941372044038,0.9968893315547326,0.9889784450620718,20141,0.9852305626315546,12864,36214,29660,62373,112368.362402965,1.0004741764402,52.72299060159044,49.44025423728814,501287,501287,2047,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,239.76322975517888,275915,255590,1243,1,,0.998951369442669,0.991024119501069,691.70362440531,44510.283158289305,151091.5941459151,211668.25554174013,211668.25554174013,256870.24232443474,14614,21240,41.40350877192982,21240,5.184281181352209,2131.297203,1767154,2.0578264390669126e-05,,,3.8996687003649455e-05,0.0008236030890638542,6.716974837066648e-05,3.41217838729323e-05,4.90814661216377e-05,5.572599617451618e-05,0.0014123969756876492,0.0001026710051861792,0.0014123969756876492,4.7081482258219645e-05,0.001903760643189541,4.7081482258219645e-05,0.0019780081241312117,0.006681834224226209,1.1691177446211153e-09,1.1691177446211153e-09,1.1691177446211153e-09,154.8847991597335,0.00474123697254909,0.0013783666135874857,0.004796389116927526,0.0014465187595605815,0.0018465187595605814,0.004947139905723072,0.004742479229026105,0.004963284522047641,0.0033162490406498457,0.003916249040649846,0.005109171421710522,0.00474147022285575,0.005144281545213435,0.9446253917283088,1.0493611743405864,0.9339477789595002,2.1646013914046156,2.1641664267926584,2.176540522892231,0.2947265999699547,2.1761031591781967,3.1076010770890696,3.099648927407,3.1985815904116945,1.10402482944098,3.190396627494544,0.5248283808648349,12.924432854170197,0.3147749427728572,2292.193466626556,2303.01764957958,2315.3822483107024,859.2893935124998,2326.315933196727,10076.013447547644,9392.004514424392,10424.08796118668,4158.080304659849,9716.450032532504
209437,765296,1,0.9483043014693222,0.9557858912303144,0.997824593377355,0.997824593377355,4.71404631622229e-05,0.9975640974986597,0.9884499674168871,0.998968820793624,1.27530806230775e-39,1416,49609764,167961036,513,0.98752834416618,0.0011684063084088,49598601,0.9956,0.0005,2049,,,513.0,1.0,,0.991149208713371,4.818867124135929e-40,,235228787,235228787,2049,0.98752834416618,0.0011684063084088,235217624,0.995,0.0005,0.9452656096031533,0.9879732270859434,0.9967956574050537,0.9889930561607065,10552,0.9853422568692598,6667,19137,15465,32710,58609.9798164278,1.00047779146338,52.32408260978626,47.28809459822628,261205,261205,1029,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,225.7699543133566,152719,141470,1230,1,,0.998968820793624,0.991149208713371,683.2183060011089,44289.13638800516,149947.2811697843,210000.59242023434,210000.59242023434,254972.9471142406,14615,11163,21.760233918128655,11163,5.448023426061494,1120.133921,973187,2.0268194025018982e-05,,,7.431286893597006e-05,0.0011431027730434864,0.00012735269325986998,4.71404631622229e-05,4.88370122270477e-05,7.71606233764983e-05,0.0019566324732367972,0.0001419764848704147,0.0019566324732367972,6.520107639101029e-05,0.00255890088309989,6.520107639101029e-05,0.002658690741704808,0.009202479389466054,2.231923386641181e-09,2.231923386641181e-09,2.231923386641181e-09,80.7860541361656,0.004708537051238757,0.0013783668649817466,0.004761833118072099,0.00200377293639902,0.00250377293639902,0.005098895154659266,0.004710693326413404,0.0051233516176627724,0.00398440821124305,0.00448440821124305,0.005358945315303413,0.004708987432891072,0.005382220256772515,0.9500930910891602,1.0441969441586054,0.9457982674410559,2.1626801083948766,2.1615939894171774,2.1742962093919522,0.2954543803209693,2.1732042566953913,1.6494468529908781,1.6432521826866442,1.6970867741895306,1.1033059602548088,1.6907131871747578,0.5278662028710388,12.860827731489309,0.3187689956713693,2290.1589339038333,2300.280166637036,2312.9947698403803,861.4112716751679,2323.216924307332,5348.128108939664,4979.0903033142795,5530.758341431348,4155.37283312032,5149.118470397895
444288,1276395,1,0.964403102527918,0.9688826703208337,0.998028759257971,0.998028759257971,3.37863061079148e-05,0.9981317597144195,0.9913513280923388,0.999389937900882,2.70247724533192e-41,3763,106226064,360361378,513,0.990689840788457,0.0008387910931879,106194897,0.9965,0.0003,2049,,,513.0,1.0,,0.994769321684367,1.0088935838892899e-41,,491753862,491753862,2049,0.990689840788457,0.0008387910931879,491722695,0.9945,0.0004,0.9619148458305259,0.9922027170969769,0.997419899738118,0.9928083918685422,29980,0.9887678724615284,11104,40714,25711,69524,125370.194430742,1.00062360093246,40.08974120882728,58.46491481374531,461513,461513,3552,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,273.88372316873614,269396,249925,4166,1,,0.999389937900882,0.994769321684367,408.15399116660876,33968.00519237353,115233.08591227555,157248.58013929366,157248.58013929366,191624.7393228338,14616,31167,60.75438596491228,31167,15.210834553440703,3127.238806,1722243,1.1901587451112606e-05,,,3.4871444489814616e-05,0.0008851307993019848,6.221706312213121e-05,3.37863061079148e-05,3.743474280620138e-05,5.267819438402269e-05,0.0014720007476352575,9.702517954634319e-05,0.0014720007476352575,4.5094763159572936e-05,0.0019266571055046534,4.5094763159572936e-05,0.0020003000675168792,0.00555555581314256,1.1460282222390281e-09,1.1460282222390281e-09,1.1460282222390281e-09,172.8064812351901,0.0037151899811505417,0.0013783697314968678,0.003749005807712649,0.0015057870537431724,0.0018057870537431723,0.003996176021783809,0.0037164910619095857,0.004007420965793321,0.003338813143109262,0.003738813143109262,0.0041850500831211905,0.0037154630424704412,0.004204122286308128,0.9540885613214538,0.8059300200974896,0.9454108822551763,1.7857467538651117,1.783237927517484,1.78805102729111,0.2943752515070048,1.785538963630089,1.3597577060255142,1.3573535685518785,1.3834717133193444,1.067325430563355,1.3810256479836103,0.5300860629247387,9.926218621968289,0.31863843253661656,1891.0073043993802,1897.6490761659609,1902.1109711121792,858.2650203895087,1908.7917422099138,4408.846757175623,4112.811206065786,4508.695627676105,4019.859638243156,4205.955644084419
460099,214341,1,0.9862480972177995,0.986785098440205,0.997149739907886,0.997149739907886,6.47396731406079e-05,0.9993613861303735,0.997194408781123,0.999927868748639,6.09278165869451e-41,20782,38525784,131206965,129,0.996993191430272,0.0006212015235773,38492719,0.9963,0.0002,1025,,,129.0,1.0,,0.999383715326902,2.20786844789379e-41,,169253451,169253451,1025,0.996993191430272,0.0006212015235773,169220386,0.9963,0.0003,0.9833660970815061,0.9964633304745442,0.9970778142493522,0.9965352118063971,32515,0.9961801750567708,1399,15040,3232,25295,45181.9180172264,1.00183590909738,13.617231940104222,55.83302585815818,156062,156062,14311,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,246.35339482836838,67118,62346,7947,1,,0.999927868748639,0.999383715326902,64.59953980176454,11611.161265936911,39544.04224010444,51010.749434128345,51010.749434128345,62686.51023986702,14620,33065,256.3178294573643,33065,32.25853658536585,3317.995773,676035,1.3764732036273918e-06,,,0.00012576006426959623,0.0021599682815306677,0.0002393215560316254,6.47396731406079e-05,1.2780439158236207e-05,8.73014697201802e-05,0.002531345443905054,0.00016111065278179117,0.002531345443905054,7.686546056473597e-05,0.0038599394905188523,7.686546056473597e-05,0.004004937125683998,0.005453556414642933,4.2152199805591395e-09,4.2152199805591395e-09,4.2152199805591395e-09,62.27997690411278,0.001811283934401782,0.0013784270265381772,0.0018470833378092086,0.002596085117045662,0.002796085117045662,0.0031126289928894765,0.001817320624733449,0.0031190478110115845,0.005303106190160802,0.005603106190160802,0.004263787326012429,0.001812907552889254,0.0042743282935993835,0.9916722292410876,0.32515658160008765,0.9850173810940211,0.4212034345492427,0.4206961133393069,0.41957379671006856,0.2930003118375891,0.4190684383280029,0.47008647846396295,0.4690022297567933,0.47009918276999024,0.9998328332391316,0.4690149047604941,0.5509673305192226,4.004783585234754,0.3319872874579486,446.03120215493254,447.68764644678566,446.33844880953666,854.2563185120097,447.9960341358393,1524.197463256783,1421.0870851221812,1532.0400912598325,3765.6627830996968,1428.39916747189
445597,209126,1,0.9834852683008278,0.9840201560721229,0.997315666909655,0.997315666909655,6.3695757673455e-05,0.9993613426368457,0.9971959657235993,0.999927969040554,6.88294075540339e-41,19971,37450315,127459431,129,0.996995078335998,0.0006255153149901,37418170,0.9965,0.0002,1025,,,129.0,1.0,,0.999384434195749,2.47478131616865e-41,,164426143,164426143,1025,0.996995078335998,0.0006255153149901,164393998,0.9961,0.0004,0.980774615025665,0.9966299601054763,0.997243829305297,0.9967017534890616,31527,0.9961820143549551,1347,14390,3219,24346,43896.4624437078,1.00183679516324,13.610663018017522,55.043210452636494,152478,152478,13716,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,242.97713485767616,65217,60710,7620,1,,0.999927969040554,0.999384434195749,64.84220722697285,11611.952057350161,39520.43666466172,50982.44138910452,50982.44138910452,62659.23565368165,14621,32145,249.1860465116279,32145,31.360975609756096,3225.152396,657636,1.3751479412619173e-06,,,0.00012902854057935783,0.0021867341365222606,0.00024949280770282224,6.3695757673455e-05,1.2781310140917681e-05,8.85755815291419e-05,0.0025609223275867665,0.00016340760415685344,0.0025609223275867665,7.798562646755523e-05,0.003915791788883231,7.798562646755523e-05,0.004058540494700734,0.0055237564100650656,4.079019045234363e-09,4.079019045234363e-09,4.079019045234363e-09,60.508074046903616,0.0018108805232015595,0.0013784271141721108,0.0018656969436174552,0.0026246180852602216,0.0028246180852602217,0.0031364966821622953,0.0018171611533440376,0.003142866754607183,0.005357914660689136,0.0057579146606891365,0.004314245426858329,0.0018125529392871713,0.00433274896609162,0.9815070937770358,0.3267485288446641,0.9697838993457657,0.4235107298681024,0.4229157323549912,0.4218718193228085,0.29316084656626973,0.4212791243433284,0.4700694913333878,0.4700848240002042,0.4700806038268644,0.9997551149680405,0.4700959368561464,0.5453196402987543,4.024390766987823,0.3268530407114328,448.4745006192453,450.04967447992505,448.78306250167424,854.7243651344038,450.3593201221016,1524.1423845797378,1424.3673695219732,1531.9795430037084,3765.370073367344,1431.6914836216906
419882,194853,1,0.995253211299557,0.9957966339221425,0.997169582907262,0.997169582907262,6.76719851676452e-05,0.9993599491024653,0.9971904495819701,0.999927855283387,8.702804495964609e-41,18831,35021166,119140768,129,0.99700125210269,0.0006354712496662,34991174,0.9964,0.0003,1025,,,129.0,1.0,,0.999382178185269,3.25894293042314e-41,,153727980,153727980,1025,0.99700125210269,0.0006354712496662,153697988,0.9967,0.0003,0.9923646305681515,0.9964816137154024,0.9970976423902881,0.9965535097859557,29763,0.9961751083776054,1368,13717,3099,23033,41034.0463525707,1.00183347268397,13.635327222837745,55.906308348893035,143726,143726,12998,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,246.37319951987195,61401,57088,7209,1,,0.999927855283387,0.999382178185269,64.748292004236,11637.289046085109,39589.64571278316,51082.734873270376,51082.734873270376,62784.77221135972,14622,29992,232.49612403100775,29992,29.26048780487805,3009.392124,619525,1.3801271791334618e-06,,,0.00013551989480695343,0.002265408113871048,0.00025514328565318627,6.76719851676452e-05,1.2809216501212646e-05,9.161567850881314e-05,0.002637742096897498,0.00016897976401550498,0.002637742096897498,8.065355964309444e-05,0.004035638697982804,8.065355964309444e-05,0.004185309563640156,0.005752281215568937,4.605531832452256e-09,4.605531832452256e-09,4.605531832452256e-09,56.562435236726216,0.0018123999446063956,0.0013784269470464886,0.0018617309227929788,0.002705414082065143,0.003005414082065143,0.0032003869967427152,0.0018190399291979013,0.0032144170434030266,0.005481737630147907,0.005781737630147907,0.004423931877847012,0.0018141864627435151,0.0044340921573452876,0.9931122271613176,0.32560535894482434,0.987550149887998,0.42711301650332023,0.4265557634709494,0.42712558063932066,0.29327309404480345,0.4265683112145604,0.4735075730391591,0.47266075583327205,0.47352424121027664,0.9999283257929413,0.4726773941951639,0.5517673849995922,4.01031094111598,0.3328409242138164,452.28912345139844,453.92324714110646,454.37196174851636,855.0516279866961,456.0136107472063,1535.289940730532,1432.172499706591,1543.2022609417866,3766.022435977648,1439.5533905173781
477333,223764,1,0.9875888175090107,0.988125138692488,0.997299502627885,0.997299502627885,6.17640196861933e-05,0.9993611624092492,0.9971980678317947,0.999928209193222,5.20725245397349e-41,21534,40082089,136280698,129,0.996991338086853,0.0006155259105725,40047697,0.9964,0.0002,1025,,,129.0,1.0,,0.999385481698953,1.89001342443526e-41,,175799446,175799446,1025,0.996991338086853,0.0006155259105725,175765054,0.9961,0.0003,0.9848511281693417,0.9966150908936295,0.997227905691992,0.9966866438318951,33871,0.9961853708311385,1465,15734,3457,26317,46926.6106961912,1.00183841432281,13.598675603077194,55.94801116538731,162559,162559,14916,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,246.14663293789252,69988,65087,8259,1,,0.999928209193222,0.999385481698953,64.84367829901556,11615.228922742312,39492.24066193531,50944.22124009742,50944.22124009742,62624.293841138744,14623,34392,266.6046511627907,34392,33.55317073170732,3450.822129,704929,1.3727311577197538e-06,,,0.00011964997135617864,0.0021139995550623326,0.00022867381857072968,6.17640196861933e-05,1.2784919302060567e-05,8.56609379393963e-05,0.0024802444728806382,0.00015795188966912877,0.0024802444728806382,7.542081983365944e-05,0.003779968741299745,7.542081983365944e-05,0.003919700395823458,0.00535134308668597,3.835481572648955e-09,3.835481572648955e-09,3.835481572648955e-09,64.68491522192377,0.0018101458794227683,0.0013784271709333825,0.0018459750257898719,0.0025420084925668316,0.0027420084925668317,0.0030705440478888285,0.0018160134572214814,0.0030770506576956952,0.0052201599318869455,0.005520159931886946,0.0041910370780957945,0.0018117107157021746,0.004201760558381895,0.9926140513213296,0.32704867537864185,0.992083070844199,0.4223620814297585,0.4218110269276924,0.420727073917323,0.2935006807676002,0.42017815260450436,0.47189079153253044,0.47144053813264336,0.4718992545111709,0.9998779879749002,0.4714489930363541,0.5514906013965085,4.028087514894705,0.33436868622227867,447.2581452864447,448.87409201770845,447.5652936787101,855.715167881037,449.1823501392112,1530.0477259808201,1428.4752132005117,1537.9064747289183,3765.832849037033,1435.8122574003796
261977,1642236,1,0.9398805471535866,0.951566450348854,0.997202204398984,0.997202204398984,3.82472720427735e-05,0.996923620491416,0.9851053912571361,0.998381680770408,3.06236398459816e-40,2109,84627211,284616961,513,0.983864792441556,0.0011580150540022,84612133,0.9953,0.0004,4097,,,513.0,1.0,,0.986120853721352,1.18626680025978e-40,,409731372,409731372,4097,0.983864792441556,0.0011580150540022,409716294,0.9936,0.0006,0.9357341822522881,0.9817704956799056,0.9955884128958136,0.9833618891347403,14109,0.9814655438848606,13730,31707,31845,54928,100113.021708265,1.00037781765378,66.16948612549814,40.52148826104258,531712,531712,1191,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,198.08416235575012,296228,273709,729,1,,0.998381680770408,0.986120853721352,1085.4323479861807,55934.17288334438,188116.9675094939,270811.06805207,270811.06805207,327830.67328340054,14624,15078,29.391812865497077,15078,3.6802538442762995,1512.978679,1901875,3.240712711144061e-05,,,4.6358423740204355e-05,0.0007803370291779647,7.619621006422426e-05,3.82472720427735e-05,6.171745649014762e-05,5.92747336856474e-05,0.0013713924970035919,0.00010870386499437783,0.0013713924970035919,4.940266655683528e-05,0.0018373290714664959,4.940266655683528e-05,0.0019114170737121283,0.007878034047135789,1.4710738314365307e-09,1.4710738314365307e-09,1.4710738314365307e-09,137.9922916057283,0.005857344828145099,0.0013783650643155476,0.005902089098206933,0.0014096397690463653,0.0018096397690463653,0.0060157464887273275,0.00585855297293336,0.006029030255077111,0.0032539414078247347,0.003853941407824735,0.00613875122094497,0.005857552461501957,0.006168003449468342,0.9254730624136395,1.3191330447565428,0.9146189210332659,2.5791858471664835,2.578667574113702,2.607794022161566,0.2966363414126639,2.607270000455113,3.7479237119599973,3.72957908813923,3.9132864240803875,1.1392700606424928,3.894132414321973,0.5141874579423447,16.247071913430155,0.30826040279036115,2731.215535371334,2744.112865840786,2774.1454490083133,864.8573353482165,2787.2455028718105,12152.180664535541,11300.706774560173,12753.291028815427,4290.824150435854,11859.698790347133
284995,1050370,1,0.9536117655998404,0.961289994698935,0.997744487464812,0.997744487464812,4.10186966616211e-05,0.9975278336148706,0.988312178699576,0.998945933788637,3.88742120374732e-40,1923,67459257,227478975,513,0.987379417611036,0.0010892720140843,67444300,0.9953,0.0004,2049,,,513.0,1.0,,0.990966930803549,1.48316125910603e-40,,318931503,318931503,2049,0.987379417611036,0.0010892720140843,318916546,0.9945,0.0005,0.9504579795413519,0.9876896036946229,0.9966927987130018,0.9887317924691649,14216,0.9852006222797127,9060,25574,20975,43954,79287.8246603057,1.00047321668851,52.82992042959756,46.54282275857458,356612,356612,1357,0.5555941915816983,12.316477081679574,0.3370369841486685,1058.944836554478,1064.159216716388,1063.7900943989666,2915.547472132133,1069.0283332318024,3242.376739354839,3030.022023262241,3258.97203699124,3766.2923819976786,3045.5304361837125,223.1611285685632,210947,195431,1629,1,,0.998945933788637,0.990966930803549,699.8673977925027,44948.479729624494,151570.51161567427,212505.84182589164,212505.84182589164,258154.18895330862,14625,14957,29.155945419103315,14957,7.299658369936554,1500.812873,1336335,2.0661780770504562e-05,,,5.53609594058563e-05,0.0009757281740790478,9.513969545957659e-05,4.10186966616211e-05,4.956586276235845e-05,6.630241823857008e-05,0.0016745650526291474,0.00012175287445404435,0.0016745650526291474,5.5995263185645845e-05,0.002177275187347661,5.5995263185645845e-05,0.0022620555866680395,0.007971829695148612,1.6901491827962262e-09,1.6901491827962262e-09,1.6901491827962262e-09,109.28769454878828,0.004750091113466439,0.00137836666621939,0.004793501132920574,0.0017155837492907684,0.0021155837492907686,0.0050366192730558965,0.004751731892082891,0.005052477976371407,0.003596660550228359,0.004096660550228359,0.005225312701424772,0.0047504203435089305,0.00524918020529597,0.9433902270385979,1.0597785884033923,0.9344893105477183,2.182773510443775,2.1823348942455545,2.1949514787048217,0.2970444767161321,2.194510415411603,1.6843041944505093,1.6790109697921076,1.7338774013713418,1.1063003860102825,1.7284283841179122,0.5241421305375846,13.052738695725111,0.3149574589461715,2311.436738252327,2322.3517916731907,2334.9676407325537,866.0472732005312,2345.9938116472963,5461.148742084121,5087.440215768979,5650.65796664024,4166.650716031618,5263.981250594935
