Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
8000,11699,4.008,0.25,2,6,0,0,0,0,4.008,0.75,1.75,0,0.75
11700,11882,4.008,0.25,2,6,0,0,0,0,4.008,0,4.008,0,4.008
11883,11904,4.008,0.25,2,6,-0.6,0,0,0.5,3.1,1.1,2.3,0.5,1.6
11905,12199,4.008,0.25,2,6,-0.4,0,0,0.5,3.1,1.1,2.3,0.5,1.6
12200,12258,4.008,0.25,2,6,63,0,0,0.5,3.1,1.1,2.3,0.5,1.6
12259,13444,4.008,0.25,2,6,-0.4,0,0,0.5,3.1,1.1,2.3,0.5,1.6
13445,13588,2.004,0.25,2,6,-0.4,0,0,0,4.008,0,4.008,0,4.008
13589,13920,2.004,0.25,2,6,-0.2,0,0,0,4.008,0,4.008,0,4.008
13921,14077,2.004,0.25,2,6,0.1,0,0,0.3,1.7,0,2.004,0,2.004
14078,14973,2.004,0.25,2,6,0.1,0,0,0,2.004,0,2.004,0,2.004
14974,99999,4.008,0.25,2,6,0,0,0,0,4.008,0,4.008,0,4.008
