Physics_Setting,Beam_Energy,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567233,0.003529,2.685057,0.000824,0.777647,0.000075,0.025976,0.000204
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.706331,0.005202,2.652732,0.001234,0.778312,0.000115,0.035700,0.000257
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.771845,0.005495,2.637037,0.001299,0.778792,0.000113,0.041964,0.000279
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.841720,0.005858,2.618881,0.001419,0.779522,0.000118,0.048871,0.000277
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.925361,0.004870,2.598658,0.001197,0.779922,0.000089,0.061731,0.000237
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.613826,0.005159,2.673009,0.001352,0.287630,0.000357,0.024766,0.000281
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,2,0.2360,0.2720,0.2540,15,180.0000,3.754340,0.004343,2.638575,0.001150,0.291711,0.000290,0.029557,0.000258
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,3,0.2720,0.3100,0.2910,15,180.0000,3.822763,0.004588,2.621907,0.001179,0.293394,0.000253,0.036221,0.000250
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.858946,0.004312,2.612872,0.001104,0.294427,0.000223,0.044114,0.000229
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,3.901503,0.004522,2.605360,0.001168,0.293216,0.000226,0.053569,0.000250
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.649157,0.003505,2.664393,0.000839,0.778476,0.000074,0.022042,0.000184
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.821328,0.005414,2.624363,0.001297,0.779226,0.000105,0.029116,0.000289
